DiagramId,CoachType,DiagramTypeId,DiagramTypeName,Name,TransCode,Lines,Rectangles,Eclipses,Circles,Paths
1,0,1,"P","3 Door ICF Coah (GS)","GS","0,0,74,0|0,14,9,14|0,0,0,14|74,0,74,11|0,116,9,116|0,116,0,130|0,130,74,130|74,130,74,121|980,0,980,14|980,14,970,14|980,0,906,0|906,0,906,11|970,116,980,116|980,116,980,130|980,130,905,130|905,130,905,121|980,0,980,14|980,14,970,14|980,0,906,0|906,0,906,11|970,116,980,116|980,116,980,130|980,130,905,130|905,130,905,121|28,52,36,74|36,52,28,74|950,52,942,74|942,52,950,74|20,49,38,49|20,79,38,79|941,49,959,49|941,79,959,79|27,49,38,41|27,79,38,89|24,49,24,79|941,49,959,49|941,79,959,79|953,49,953,79|953,49,941,42|953,79,941,89|898,25,898,106|81,25,81,106","2,32,7,7|2,93,7,7|9,11,8,110|38,17,5,97|52,17,5,97|17,21,21,6|17,103,21,6|43,21,9,6|43,103,9,6|962,11,8,110|941,22,21,6|927,22,9,6|941,103,21,6|927,103,9,6|970,31,7,7|970,93,7,7|936,17,5,97|922,17,5,97|17,38,21,4|17,91,21,4|941,38,21,4|941,91,21,4|60,17,52,6|60,108,52,6|426,17,41,6|426,108,41,6|868,17,51,6|868,108,51,6|104,0,324,11|104,120,324,11|468,0,404,11|468,120,404,11|57,27,24,5|57,37,24,5|57,47,24,5|57,57,24,5|57,67,24,5|57,77,24,5|57,87,24,5|57,97,24,5|898,27,24,5|898,37,24,5|898,47,24,5|898,57,24,5|898,67,24,5|898,77,24,5|898,87,24,5|898,97,24,5|116,17,22,97|841,17,22,97|17,11,945,6|17,114,945,6","124,57,5,9|849,57,5,9|124,87,7,7|849,87,7,7|124,32,7,7|849,32,7,7",,
2,0,1,"L","3 Door ICF Coah Left Side","GS","91,142,91,153|0,153,980,153|446,141,446,153|888,141,888,153|0,130,0,153|980,130,980,153|71,130,71,145|71,145,74,153|111,130,111,145|111,145,108,153|428,130,428,145|428,145,432,153|468,130,468,145|468,145,464,153|868,130,868,145|868,145,873,153|909,130,909,145|909,145,904,153","17,132,4,21|54,132,4,21|65,132,4,21|113,132,4,21|144,132,4,21|151,132,4,21|184,132,4,21|191,132,4,21|226,132,4,21|233,132,4,21|266,132,4,21|273,132,4,21|307,132,4,21|314,132,4,21|348,132,4,21|355,132,4,21|387,132,4,21|394,132,4,21|424,132,4,21|470,132,4,21|502,132,4,21|509,132,4,21|543,132,4,21|550,132,4,21|584,132,4,21|591,132,4,21|623,132,4,21|630,132,4,21|666,132,4,21|673,132,4,21|705,132,4,21|712,132,4,21|747,132,4,21|754,132,4,21|788,132,4,21|795,132,4,21|829,132,4,21|836,132,4,21|864,132,4,21|910,132,4,21|925,132,4,21|956,132,4,21|0,0,980,32|0,32,71,100|74,32,33,105|75,141,33,12|24,79,24,24|111,32,317,100|80,79,24,24|116,79,24,24|158,79,24,24|197,79,24,24|238,79,24,24|279,79,24,24|320,79,24,24|361,79,24,24|402,79,24,24|435,79,24,24|475,79,24,24|516,79,24,24|557,79,24,24|598,79,24,24|638,79,24,24|679,79,24,24|720,79,24,24|761,79,24,24|801,79,24,24|840,79,24,24|876,79,24,24|928,79,24,24|909,32,71,100|468,32,400,100|432,32,32,105|872,32,32,105|432,141,33,12|872,141,33,12",,,
3,0,1,"R","3 Door ICF Coah Left Side","GS","91,142,91,153|0,153,980,153|446,141,446,153|888,141,888,153|0,130,0,153|980,130,980,153|71,130,71,145|71,145,74,153|111,130,111,145|111,145,108,153|428,130,428,145|428,145,432,153|468,130,468,145|468,145,464,153|868,130,868,145|868,145,873,153|909,130,909,145|909,145,904,153","17,132,4,21|54,132,4,21|65,132,4,21|113,132,4,21|144,132,4,21|151,132,4,21|184,132,4,21|191,132,4,21|226,132,4,21|233,132,4,21|266,132,4,21|273,132,4,21|307,132,4,21|314,132,4,21|348,132,4,21|355,132,4,21|387,132,4,21|394,132,4,21|424,132,4,21|470,132,4,21|502,132,4,21|509,132,4,21|543,132,4,21|550,132,4,21|584,132,4,21|591,132,4,21|623,132,4,21|630,132,4,21|666,132,4,21|673,132,4,21|705,132,4,21|712,132,4,21|747,132,4,21|754,132,4,21|788,132,4,21|795,132,4,21|829,132,4,21|836,132,4,21|864,132,4,21|910,132,4,21|925,132,4,21|956,132,4,21|0,0,980,32|0,32,71,100|74,32,33,105|75,141,33,12|24,79,24,24|111,32,317,100|80,79,24,24|116,79,24,24|158,79,24,24|197,79,24,24|238,79,24,24|279,79,24,24|320,79,24,24|361,79,24,24|402,79,24,24|435,79,24,24|475,79,24,24|516,79,24,24|557,79,24,24|598,79,24,24|638,79,24,24|679,79,24,24|720,79,24,24|761,79,24,24|801,79,24,24|840,79,24,24|876,79,24,24|928,79,24,24|909,32,71,100|468,32,400,100|432,32,32,105|872,32,32,105|432,141,33,12|872,141,33,12",,,
